name,creator,likes,active_players,favorites,visits,created_date,update_date,genre,server_size,url
Dont Press The Button 4,Gliko Studios,85%,"7,637","935,614",650263494,06/12/2020,05/06/2023,Adventure,10,https://www.roblox.com/games/5171093784/Dont-Press-The-Button-4?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5171093784&position=6&universeId=1802622907
BedWars  ZIPLINES  WIZARD,Easy.gg,83%,"45,608","3,512,115",6534061611,5/27/2021,05/10/2023,Fighting,40,https://www.roblox.com/games/6872265039/BedWars-ZIPLINES-WIZARD?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6872265039&position=0&universeId=2619619496
Evade,Hexagon Development Community,94%,"25,615","3,154,188",2023428192,06/10/2022,4/29/2023,Horror,15,https://www.roblox.com/games/9872472334/Evade?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9872472334&position=5&universeId=3647333358
Blox Fruits,Gamer Robot Inc,94%,"424,865","7,752,562",16947376345,1/16/2019,4/17/2023,Adventure,12,https://www.roblox.com/games/2753915549/Blox-Fruits?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2753915549&position=2&universeId=994732206
3008 272,@uglyburger0,91%,"13,341","3,904,173",1451300303,1/20/2019,4/28/2023,Horror,16,https://www.roblox.com/games/2768379856/3008-2-72?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2768379856&position=7&universeId=1000233041
Color Block,@11aganfy,85%,"5,577","2,197,990",1758569902,11/07/2020,03/10/2023,All Genres,12,https://www.roblox.com/games/5926001758/Color-Block?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5926001758&position=9&universeId=2126386806
JELLY Pet Simulator X ,BIG Games Pets,92%,"82,789","5,645,570",7737713638,1/22/2021,05/10/2023,All Genres,12,https://www.roblox.com/games/6284583030/JELLY-Pet-Simulator-X?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6284583030&position=10&universeId=2316994223
Livetopia New house,Century Makers,91%,"40,902","3,901,162",3473268191,4/28/2021,05/10/2023,Town and City,15,https://www.roblox.com/games/6737970321/Livetopia-New-house?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6737970321&position=1&universeId=2549475383
RoyaleHigh,@callmehbob,88%,"12,316","12,972,700",8805011828,04/10/2017,05/11/2023,Adventure,15,https://www.roblox.com/games/735030788/Royale-High?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=735030788&position=4&universeId=321778215
Rainbow Friends,Roy & Charcle,78%,"13,133","2,279,199",1752527709,11/14/2021,05/10/2023,Horror,50,https://www.roblox.com/games/7991339063/Rainbow-Friends?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7991339063&position=3&universeId=3085257211
Squid Game,Trendsetter Games,85%,"3,060","1,918,527",1151717925,9/24/2021,05/08/2023,Horror,55,https://www.roblox.com/games/7549229959/Squid-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7549229959&position=8&universeId=2934375089
Maple Hospital THE DOME,Marizma Games,85%,"10,114","729,246",584475882,02/01/2022,05/11/2023,RPG,50,https://www.roblox.com/games/8704997000/Maple-Hospital-THE-DOME?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8704997000&position=11&universeId=3308103880
EASTER Crewmates  Among Us,Lionly Studios,87%,"6,462","984,090",643531688,11/10/2020,04/11/2023,All Genres,10,https://www.roblox.com/games/5939428933/EASTER-Crewmates-Among-Us?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5939428933&position=12&universeId=2133588542
 MeepCity ,@alexnewtron,85%,"10,705","14,762,088",15294380830,2/23/2016,04/10/2023,Town and City,200,https://www.roblox.com/games/370731277/MeepCity?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=370731277&position=17&universeId=140239261
The Floor Is LAVA,@TheLegendOfPyro,71%,"6,790","2,804,608",1818067202,5/15/2017,04/09/2023,Adventure,16,https://www.roblox.com/games/815405518/The-Floor-Is-LAVA?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=815405518&position=15&universeId=341654025
DOORS ,LSPLASH,94%,"48,938","4,758,913",3312230026,3/14/2021,4/21/2023,Adventure,40,https://www.roblox.com/games/6516141723/DOORS?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6516141723&position=16&universeId=2440500124
 BABY ORCA Club Roblox,Block Evolution Studios,90%,"5,831","3,038,736",2196387906,07/12/2019,05/08/2023,RPG,56,https://www.roblox.com/games/3457390032/BABY-ORCA-Club-Roblox?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3457390032&position=20&universeId=1230230722
Gacha Online ,@SnowdustDev,74%,"17,456","2,200,891",1814336903,07/05/2020,05/11/2023,Town and City,40,https://www.roblox.com/games/5289509545/Gacha-Online?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5289509545&position=14&universeId=1852226622
TROPICAL  Mega Mansion Tycoon ,Wild Atelier,93%,"15,104","976,894",641660119,12/23/2021,05/07/2023,All Genres,6,https://www.roblox.com/games/8328351891/TROPICAL-Mega-Mansion-Tycoon?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8328351891&position=21&universeId=3191268194
BETTYS NURSERY ESCAPE FIRST PERSON OBBY,HungryN00B Games,51%,"4,376","29,586",46066557,3/21/2023,4/27/2023,Adventure,14,https://www.roblox.com/games/12857619746/BETTYS-NURSERY-ESCAPE-FIRST-PERSON-OBBY?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12857619746&position=22&universeId=4500652595
Spray Paint,@SheriffTaco,82%,"6,084","1,490,364",606084479,11/23/2020,05/05/2023,All Genres,25,https://www.roblox.com/games/5991163185/Spray-Paint?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5991163185&position=13&universeId=2160907981
 FIESTA My Restaurant,BIG Games™,91%,"6,702","2,483,423",679327617,12/06/2019,05/10/2023,All Genres,10,https://www.roblox.com/games/4490140733/FIESTA-My-Restaurant?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4490140733&position=19&universeId=1434220026
Yeet A Friend,Low Effort Studios.,96%,"15,873","138,001",45867898,11/30/2022,05/11/2023,Adventure,12,https://www.roblox.com/games/11708967881/Yeet-A-Friend?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=11708967881&position=18&universeId=4147392742
