Game URL,Vote_precentage
https://www.roblox.com/games/6872265039/BedWars-ZIPLINES-WIZARD?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6872265039&position=0&universeId=2619619496,83%
https://www.roblox.com/games/6737970321/Livetopia-New-house?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6737970321&position=1&universeId=2549475383,91%
https://www.roblox.com/games/2753915549/Blox-Fruits?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2753915549&position=2&universeId=994732206,94%
https://www.roblox.com/games/7991339063/Rainbow-Friends?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7991339063&position=3&universeId=3085257211,78%
https://www.roblox.com/games/735030788/Royale-High?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=735030788&position=4&universeId=321778215,88%
https://www.roblox.com/games/9872472334/Evade?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9872472334&position=5&universeId=3647333358,94%
https://www.roblox.com/games/5171093784/Dont-Press-The-Button-4?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5171093784&position=6&universeId=1802622907,85%
https://www.roblox.com/games/2768379856/3008-2-72?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2768379856&position=7&universeId=1000233041,91%
https://www.roblox.com/games/7549229959/Squid-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7549229959&position=8&universeId=2934375089,85%
https://www.roblox.com/games/5926001758/Color-Block?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5926001758&position=9&universeId=2126386806,85%
https://www.roblox.com/games/6284583030/JELLY-Pet-Simulator-X?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6284583030&position=10&universeId=2316994223,92%
https://www.roblox.com/games/8704997000/Maple-Hospital-THE-DOME?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8704997000&position=11&universeId=3308103880,85%
https://www.roblox.com/games/5939428933/EASTER-Crewmates-Among-Us?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5939428933&position=12&universeId=2133588542,87%
https://www.roblox.com/games/5991163185/Spray-Paint?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5991163185&position=13&universeId=2160907981,82%
https://www.roblox.com/games/5289509545/Gacha-Online?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5289509545&position=14&universeId=1852226622,74%
https://www.roblox.com/games/815405518/The-Floor-Is-LAVA?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=815405518&position=15&universeId=341654025,71%
https://www.roblox.com/games/6516141723/DOORS?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6516141723&position=16&universeId=2440500124,94%
https://www.roblox.com/games/370731277/MeepCity?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=370731277&position=17&universeId=140239261,85%
